Wall time,Step,Value
1680531956.8805213,1711,8.0
1680531965.4756427,1718,8.0
1680531970.5057595,1722,8.0
1680531971.7075415,1723,8.0
1680531980.2443597,1730,8.0
1680531990.1401784,1738,8.0
1680531991.4094746,1739,8.0
1680531996.4192224,1743,8.0
1680531998.8378456,1745,8.0
1680532009.9513342,1754,8.0
1680532023.422566,1765,8.0
1680532035.9024227,1775,8.0
1680532038.3308785,1777,8.0
1680532047.3298945,1784,8.0
1680532048.5788703,1785,8.0
1680532053.5853763,1789,8.0
1680532057.4348595,1792,8.0
1680532062.608168,1796,8.0
1680532067.5550587,1800,8.0
1680532091.141776,1819,8.0
1680532096.2065034,1823,8.0
1680532104.968017,1830,8.0
1680532112.6151161,1836,8.0
1680532115.1605322,1838,8.0
1680532126.4783993,1847,8.0
1680532131.475602,1851,8.0
1680532142.8322535,1860,8.0
1680532149.0645783,1865,8.0
1680532150.3319354,1866,8.0
1680532151.5360756,1867,8.0
1680532171.55346,1883,8.0
1680532177.942471,1888,8.0
1680532186.4602299,1895,8.0
1680532191.390862,1899,8.0
1680532195.1026134,1902,8.0
1680532202.8022373,1908,8.0
1680532204.0624683,1909,8.0
1680532205.4317195,1910,8.0
1680532209.1804495,1913,8.0
1680532215.378721,1918,8.0
1680532222.8842404,1924,8.0
1680532224.08881,1925,8.0
1680532236.5961473,1935,8.0
1680532237.8668053,1936,8.0
1680532242.9422615,1940,8.0
1680532244.2129693,1941,8.0
1680532249.305524,1945,8.0
1680532251.91418,1947,8.0
1680532259.4754064,1953,8.0
1680532263.236554,1956,8.0
1680532268.23597,1960,8.0
1680532269.4474194,1961,8.0
1680532271.9449954,1963,8.0
1680532273.2187545,1964,8.0
1680532275.702703,1966,8.0
1680532289.5524824,1977,8.0
1680532292.2187474,1979,8.0
1680532302.1637292,1987,8.0
1680532303.3594246,1988,8.0
1680532307.0376172,1991,8.0
1680532352.7724738,2026,10.0
1680532365.3748436,2036,10.0
1680532379.315587,2047,10.0
1680532388.1559253,2054,10.0
1680532389.4274375,2055,10.0
1680532404.527369,2067,10.0
1680532408.2831461,2070,10.0
1680532419.6440697,2079,10.0
1680532432.553013,2089,10.0
1680532442.634583,2097,10.0
1680532443.9286704,2098,10.0
1680532446.5144613,2100,10.0
1680532450.2825327,2103,10.0
1680532457.871374,2109,10.0
1680532464.1259325,2114,10.0
1680532465.3592799,2115,10.0
1680532470.329037,2119,10.0
1680532471.602324,2120,10.0
1680532480.5246823,2127,10.0
1680532491.890997,2136,10.0
1680532495.6002533,2139,10.0
1680532507.8644512,2149,10.0
1680532520.0896852,2159,10.0
1680532532.6740458,2169,10.0
1680532555.3826754,2187,10.0
1680532564.181225,2194,10.0
1680532573.1288157,2201,10.0
1680532575.6697843,2203,10.0
1680532583.275721,2209,10.0
1680532585.7790227,2211,10.0
1680532589.744795,2214,10.0
1680532591.014523,2215,10.0
1680532598.820503,2221,10.0
1680532603.8008456,2225,10.0
1680532617.6897676,2236,10.0
1680532621.556538,2239,10.0
